Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
GTN.A,"Gray Television, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gtn.a
AJX,Great Ajax Corp.,13.82,$262.09M,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ajx
AJXA,Great Ajax Corp.,25.84,n/a,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ajxa
GWB,"Great Western Bancorp, Inc.",35.01,$1.99B,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/gwb
GDOT,Green Dot Corporation,48.41,$2.57B,2010,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/gdot
GBX,"Greenbrier Companies, Inc. (The)",29.37,$954.04M,1994,Capital Goods,Railroads,https://www.nasdaq.com/symbol/gbx
GHL,"Greenhill & Co., Inc.",14.78,$311.25M,2004,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ghl
GHG,GreenTree Hospitality Group Ltd.,12.57,$1.28B,2018,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/ghg
GEF,Greif Bros. Corporation,34.7,$2.06B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gef
GEF.B,Greif Bros. Corporation,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gef.b
GFF,Griffon Corporation,16.27,$761.45M,n/a,Capital Goods,Building Products,https://www.nasdaq.com/symbol/gff
GPI,"Group 1 Automotive, Inc.",82.32,$1.52B,1997,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/gpi
GRUB,GrubHub Inc.,75.02,$6.84B,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/grub
PAC,"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",106.4,$5.97B,2006,Transportation,Aerospace,https://www.nasdaq.com/symbol/pac
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V.",165.42,$4.96B,n/a,Transportation,Aerospace,https://www.nasdaq.com/symbol/asr
AVAL,Grupo Aval Acciones y Valores S.A.,8.16,$9.09B,2014,Finance,Commercial Banks,https://www.nasdaq.com/symbol/aval
SUPV,Grupo Supervielle S.A.,7.98,$728.93M,2016,Finance,Commercial Banks,https://www.nasdaq.com/symbol/supv
TV,Grupo Televisa S.A.,9.02,$5.21B,1993,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/tv
GSAH,GS Acquisition Holdings Corp.,10.19,$878.89M,2018,n/a,n/a,https://www.nasdaq.com/symbol/gsah
GSAH.U,GS Acquisition Holdings Corp.,n/a,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/gsah.u
GSAH.WS,GS Acquisition Holdings Corp.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gsah.ws
GSX,GSX Techedu Inc.,10.12,$2.38B,2019,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/gsx
GTT,"GTT Communications, Inc.",14.64,$817.6M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/gtt
GSH,Guangshen Railway Company Limited,16.78,$2.38B,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/gsh
GES,"Guess?, Inc.",16.69,$1.2B,1996,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/ges
GGM,Guggenheim Credit Allocation Fund,20.67,$152.62M,2013,n/a,n/a,https://www.nasdaq.com/symbol/ggm
GPM,Guggenheim Enhanced Equity Income Fund,8.12,$391.16M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gpm
GOF,Guggenheim Strategic Opportunities Fund,20.54,$748.07M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gof
GBAB,Guggenheim Taxable Municipal Managed Duration Trst,23.96,$417.42M,2010,n/a,n/a,https://www.nasdaq.com/symbol/gbab
GWRE,"Guidewire Software, Inc.",100.72,$8.24B,2012,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/gwre
HRB,"H&R Block, Inc.",28.44,$5.74B,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/hrb
FUL,H. B. Fuller Company,48.13,$2.45B,n/a,Basic Industries,Home Furnishings,https://www.nasdaq.com/symbol/ful
HAE,Haemonetics Corporation,122.57,$6.28B,1991,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/hae
HK,Halcon Resources Corporation,0.1825,$29.98M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/hk
HK.WS,Halcon Resources Corporation,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hk.ws
HAL,Halliburton Company,22.88,$20B,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/hal
HBB,Hamilton Beach Brands Holding Company,16.47,$228.15M,2017,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/hbb
HBI,Hanesbrands Inc.,16.93,$6.12B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/hbi
HNGR,"Hanger, Inc.",17,$633.07M,2018,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/hngr
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",28.06,$1.79B,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hasi
HOG,"Harley-Davidson, Inc.",36.6,$5.82B,n/a,Consumer Non-Durables,Motor Vehicles,https://www.nasdaq.com/symbol/hog
HMY,Harmony Gold Mining Company Limited,2.34,$1.25B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/hmy
HSC,Harsco Corporation,25.31,$2.03B,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/hsc
HHS,"Harte-Hanks, Inc.",2.76,$17.31M,1993,Technology,Advertising,https://www.nasdaq.com/symbol/hhs
HGH,"Hartford Financial Services Group, Inc. (The)",28.49,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/hgh
HIG,"Hartford Financial Services Group, Inc. (The)",58.05,$20.99B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/hig
HIG^G,"Hartford Financial Services Group, Inc. (The)",27.46,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hig^g
HVT,"Haverty Furniture Companies, Inc.",18.4,$378.5M,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/hvt
HVT.A,"Haverty Furniture Companies, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hvt.a
HE,"Hawaiian Electric Industries, Inc.",44.51,$4.85B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/he
HCHC,"HC2 Holdings, Inc.",2.2,$100.38M,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/hchc
HCA,"HCA Healthcare, Inc.",139.7,$47.82B,2011,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/hca
HCI,"HCI Group, Inc.",40.85,$347.34M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/hci
HCP,"HCP, Inc.",32.27,$15.42B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hcp
HDB,HDFC Bank Limited,125.25,$114.09B,2001,Finance,Commercial Banks,https://www.nasdaq.com/symbol/hdb
HR,Healthcare Realty Trust Incorporated,32.23,$4.16B,1993,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hr
HTA,"Healthcare Trust of America, Inc.",27.79,$5.7B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hta
HL,Hecla Mining Company,1.76,$855.77M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/hl
HL^B,Hecla Mining Company,51.4592,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/hl^b
HEI,Heico Corporation,136.79,$18.31B,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/hei
HEI.A,Heico Corporation,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hei.a
HLX,"Helix Energy Solutions Group, Inc.",8.08,$1.2B,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/hlx
HP,"Helmerich & Payne, Inc.",50.59,$5.54B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/hp
HLF,Herbalife Nutrition Ltd.,41.87,$6.33B,2004,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/hlf
HRI,Herc Holdings Inc.,44.99,$1.29B,2016,n/a,n/a,https://www.nasdaq.com/symbol/hri
HCXY,"Hercules Capital, Inc.",25.96,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/hcxy
HCXZ,"Hercules Capital, Inc.",25,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/hcxz
HTGC,"Hercules Capital, Inc.",13,$1.36B,2012,n/a,n/a,https://www.nasdaq.com/symbol/htgc
HRTG,"Heritage Insurance Holdings, Inc.",15.52,$465.8M,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/hrtg
PSV,Hermitage Offshore Services Ltd.,2.82,$56.86M,2014,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/psv
HT,Hersha Hospitality Trust,16.3,$639.2M,1999,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ht
HT^C,Hersha Hospitality Trust,25.4,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ht^c
HT^D,Hersha Hospitality Trust,24.62,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ht^d
HT^E,Hersha Hospitality Trust,24.91,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ht^e
HSY,Hershey Company (The),140.43,$29.32B,n/a,Consumer Non-Durables,Specialty Foods,https://www.nasdaq.com/symbol/hsy
HTZ,"Hertz Global Holdings, Inc",15.24,$1.28B,2016,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/htz
HES,Hess Corporation,61.7,$18.72B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/hes
HESM,Hess Midstream Partners LP,20.83,$1.14B,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/hesm
HPE,Hewlett Packard Enterprise Company,14.81,$19.83B,2015,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/hpe
HXL,Hexcel Corporation,81.15,$6.89B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/hxl
HEXO,HEXO Corp.,5.03,$1.29B,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/hexo
HCR,Hi-Crush Inc.,2.13,$215.36M,2012,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/hcr
PCF,High Income Securities Fund,8.24,$106.55M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcf
HGLB,Highland Global Allocation Fund,11.29,$259.88M,2019,n/a,n/a,https://www.nasdaq.com/symbol/hglb
HFRO,Highland Income Fund,13.72,$986.58M,2017,n/a,n/a,https://www.nasdaq.com/symbol/hfro
HPR,HighPoint Resources Corporation,1.51,$322.78M,2018,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/hpr
HIW,"Highwoods Properties, Inc.",42.74,$4.43B,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hiw
HIL,"Hill International, Inc.",2.59,$144.16M,2018,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/hil
HI,Hillenbrand Inc,37.16,$2.33B,n/a,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/hi
HRC,Hill-Rom Holdings Inc,106.32,$7.1B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/hrc
HTH,Hilltop Holdings Inc.,21.54,$2.02B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/hth
HGV,Hilton Grand Vacations Inc.,32.36,$2.94B,2016,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/hgv
HLT,Hilton Worldwide Holdings Inc.,99.88,$29.07B,2016,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/hlt
HNI,HNI Corporation,34.77,$1.51B,n/a,Consumer Durables,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/hni
HMLP,Hoegh LNG Partners LP,17.81,$591.33M,2014,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/hmlp
HMLP^A,Hoegh LNG Partners LP,26.09,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hmlp^a
HEP,"Holly Energy Partners, L.P.",28.93,$3.05B,2004,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/hep
HFC,HollyFrontier Corporation,47.83,$8.17B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/hfc
HD,"Home Depot, Inc. (The)",217.26,$239.05B,n/a,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/hd
HMC,"Honda Motor Company, Ltd.",26.16,$46.03B,n/a,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/hmc
HON,Honeywell International Inc.,174.78,$127.19B,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/hon
HMN,Horace Mann Educators Corporation,41.6,$1.71B,1991,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/hmn
HZN,Horizon Global Corporation,3.87,$97.77M,2015,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/hzn
HTFA,Horizon Technology Finance Corporation,25.66,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/htfa
HRL,Hormel Foods Corporation,41.23,$22.01B,n/a,Consumer Non-Durables,Meat/Poultry/Fish,https://www.nasdaq.com/symbol/hrl
HOS,Hornbeck Offshore Services,1.1,$41.66M,2004,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/hos
HST,"Host Hotels & Resorts, Inc.",18.3,$13.56B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hst
HLI,"Houlihan Lokey, Inc.",43.7,$2.89B,2015,Finance,Investment Managers,https://www.nasdaq.com/symbol/hli
HOV,Hovnanian Enterprises Inc,8.85,$52.56M,n/a,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/hov
HHC,Howard Hughes Corporation (The),130,$5.61B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hhc
HPQ,HP Inc.,21.31,$32.1B,n/a,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/hpq
HSBC,HSBC Holdings plc,41.5,$168.34B,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/hsbc
HSBC^A,HSBC Holdings plc,26.4,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hsbc^a
HMI,Huami Corporation,10.38,$627.3M,2018,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/hmi
HNP,"Huaneng Power International, Inc.",23.84,$9.36B,1994,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/hnp
HUBB,Hubbell Inc,128.38,$7B,2015,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/hubb
HUBS,"HubSpot, Inc.",177.95,$7.49B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/hubs
HBM,Hudbay Minerals Inc.,5.08,$1.33B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/hbm
HUD,Hudson Ltd.,14,$1.29B,2018,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/hud
HPP,"Hudson Pacific Properties, Inc.",34.73,$5.36B,2010,Finance,Real Estate,https://www.nasdaq.com/symbol/hpp
HUM,Humana Inc.,284.3,$38.39B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/hum
HCFT,"Hunt Companies Finance Trust, Inc.",3.47,$82.2M,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hcft
HII,"Huntington Ingalls Industries, Inc.",236.15,$9.81B,n/a,Capital Goods,Marine Transportation,https://www.nasdaq.com/symbol/hii
HUN,Huntsman Corporation,20.5,$4.78B,2005,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/hun
HUYA,HUYA Inc.,24.07,$5.25B,2018,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/huya
H,Hyatt Hotels Corporation,80.68,$8.5B,2009,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/h
HY,"Hyster-Yale Materials Handling, Inc.",53.7,$894.44M,n/a,Capital Goods,Construction/Ag Equipment/Trucks,https://www.nasdaq.com/symbol/hy
IAA,"IAA, Inc.",43.94,$5.86B,2019,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/iaa
IAG,Iamgold Corporation,3.54,$1.66B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/iag
IBN,ICICI Bank Limited,12.29,$39.65B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/ibn
IDA,"IDACORP, Inc.",104.43,$5.26B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ida
IEX,IDEX Corporation,168.36,$12.75B,1989,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/iex
IDT,IDT Corporation,10.8,$283.82M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/idt
INFO,IHS Markit Ltd.,65.56,$26.29B,1996,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/info
ITW,Illinois Tool Works Inc.,153.45,$49.99B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/itw
IMAX,Imax Corporation,20.76,$1.28B,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/imax
ICD,"Independence Contract Drilling, Inc.",1.28,$98.66M,2014,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/icd
IHC,Independence Holding Company,37,$552.65M,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/ihc
IRT,"Independence Realty Trust, Inc.",11.95,$1.07B,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/irt
IFN,"India Fund, Inc. (The)",21.34,$574.14M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ifn
IBA,"Industrias Bachoco, S.A. de C.V.",53.1,$2.66B,1997,Consumer Non-Durables,Meat/Poultry/Fish,https://www.nasdaq.com/symbol/iba
INFY,Infosys Limited,11.53,$49.9B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/infy
ING,"ING Group, N.V.",11.69,$45.54B,1997,Finance,Commercial Banks,https://www.nasdaq.com/symbol/ing
ISG,"ING Group, N.V.",26.18,n/a,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/isg
IR,Ingersoll-Rand plc (Ireland),128.13,$30.9B,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/ir
NGVT,Ingevity Corporation,102.77,$4.3B,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ngvt
INGR,Ingredion Incorporated,79.82,$5.32B,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/ingr
IIPR,"Innovative Industrial Properties, Inc.",128.47,$1.26B,2016,Finance,Real Estate,https://www.nasdaq.com/symbol/iipr
IIPR^A,"Innovative Industrial Properties, Inc.",32.21,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iipr^a
IPHI,Inphi Corporation,59.56,$2.7B,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/iphi
INSI,Insight Select Income Fund,19.65,$210.45M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/insi
NSP,"Insperity, Inc.",131.74,$5.43B,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/nsp
INSP,"Inspire Medical Systems, Inc.",67.89,$1.62B,1998,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/insp
IBP,"Installed Building Products, Inc.",56.96,$1.71B,2014,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/ibp
INST,"Instructure, Inc.",41.81,$1.53B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/inst
ITGR,Integer Holdings Corporation,81.27,$2.65B,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/itgr
I,Intelsat S.A.,20.6,$2.9B,2013,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/i
ICE,Intercontinental Exchange Inc.,91.77,$51.75B,2005,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ice
IHG,Intercontinental Hotels Group,69.9,$12.72B,n/a,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/ihg
IBM,International Business Machines Corporation,143.53,$127.26B,n/a,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/ibm
IFF,"International Flavors & Fragrances, Inc.",144.81,$15.45B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/iff
IFFT,"International Flavors & Fragrances, Inc.",53.75,n/a,2018,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ifft
IGT,International Game Technology,13.81,$2.82B,2015,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/igt
IP,International Paper Company,42.6,$16.93B,n/a,Basic Industries,Paper,https://www.nasdaq.com/symbol/ip
INSW,"International Seaways, Inc.",18.9,$552.3M,2016,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/insw
INSW^A,"International Seaways, Inc.",25.59,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/insw^a
IPG,"Interpublic Group of Companies, Inc. (The)",23.69,$9.17B,n/a,Technology,Advertising,https://www.nasdaq.com/symbol/ipg
INXN,InterXion Holding N.V.,76.14,$5.82B,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/inxn
IPI,"Intrepid Potash, Inc",3.58,$469.13M,2008,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/ipi
IVC,Invacare Corporation,4.74,$160.05M,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ivc
VBF,Invesco Bond Fund,18.75,$213.32M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vbf
VCV,Invesco California Value Municipal Income Trust,12.93,$618.9M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vcv
VTA,Invesco Credit Opportunities Fund,11.09,$821.71M,2007,n/a,n/a,https://www.nasdaq.com/symbol/vta
IHIT,Invesco High Income 2023 Target Term Fund,10.46,$251.16M,2016,n/a,n/a,https://www.nasdaq.com/symbol/ihit
IHTA,Invesco High Income 2024 Target Term Fund,10.2036,$89.56M,2017,n/a,n/a,https://www.nasdaq.com/symbol/ihta
VLT,Invesco High Income Trust II,14.49,$117.64M,1989,n/a,n/a,https://www.nasdaq.com/symbol/vlt
IVR,INVESCO MORTGAGE CAPITAL INC,16.44,$2.11B,2009,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ivr
IVR^B,INVESCO MORTGAGE CAPITAL INC,26.507,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ivr^b
IVR^C,INVESCO MORTGAGE CAPITAL INC,25.8,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ivr^c
IVR^A,Invesco Mortgage Capital Inc.,25.695,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ivr^a
OIA,Invesco Municipal Income Opportunities Trust,7.66,$364.11M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/oia
VMO,Invesco Municipal Opportunity Trust,12.36,$833.24M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vmo
VKQ,Invesco Municipal Trust,12.55,$694.27M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vkq
VPV,Invesco Pennsylvania Value Municipal Income Trust,12.73,$303.35M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vpv
IVZ,Invesco Plc,19.9,$9.48B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ivz
IQI,Invesco Quality Municipal Income Trust,12.53,$662.63M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iqi
VVR,Invesco Senior Income Trust,4.27,$768.75M,1998,n/a,n/a,https://www.nasdaq.com/symbol/vvr
VTN,Invesco Trust  for Investment Grade New York Municipal,13.6,$264.9M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vtn
VGM,Invesco Trust for Investment Grade Municipals,12.69,$688.12M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vgm
IIM,Invesco Value Municipal Income Trust,15.27,$718.55M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iim
IRET,Investors Real Estate Trust,60.06,$705.96M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/iret
IRET^C,Investors Real Estate Trust,25.56,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iret^c
NVTA,Invitae Corporation,22.52,$2.08B,2015,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/nvta
INVH,Invitation Homes Inc.,27.96,$14.68B,2017,Finance,Real Estate,https://www.nasdaq.com/symbol/invh
IO,Ion Geophysical Corporation,9.84,$138.44M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/io
IQV,"IQVIA Holdings, Inc.",156.57,$30.88B,2013,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/iqv
IRM,Iron Mountain Incorporated,30.57,$8.77B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/irm
IRS,IRSA Inversiones Y Representaciones S.A.,10.28,$594.88M,n/a,Consumer Services,Homebuilding,https://www.nasdaq.com/symbol/irs
ICL,Israel Chemicals Shs,5.05,$6.47B,2014,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/icl
STAR          ,iStar Inc.,12.76,$825.49M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/star
STAR^D,iStar Inc.,25.75,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/star^d
STAR^G,iStar Inc.,25.4934,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/star^g
STAR^I,iStar Inc.,25.35,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/star^i
ITCB,Ita? CorpBanca,12.24,$4.18B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/itcb
ITUB,Itau Unibanco Banco Holding SA,9.62,$93.73B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/itub
ITT,ITT Inc.,64.94,$5.7B,2011,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/itt
IVH,Ivy High Income Opportunities Fund,13.55,$224.53M,2013,n/a,n/a,https://www.nasdaq.com/symbol/ivh
JPM,J P Morgan Chase & Co,115.12,$373.45B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/jpm
JPM^A,J P Morgan Chase & Co,25.92,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/jpm^a
JPM^C,J P Morgan Chase & Co,27.22,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jpm^c
JPM^D,J P Morgan Chase & Co,26.92,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jpm^d
JPM^E,J P Morgan Chase & Co,25.6,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jpm^e
JPM^F,J P Morgan Chase & Co,25.81,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jpm^f
